Text(°C),Tint(°C),Qhvac(W),Qsun(W)
2.000000000000000000e+00,2.179999923706054688e+01,2.988000000000000000e+03,8.619124567555226379e-01
2.000000000000000000e+00,2.170000076293945312e+01,1.369000000000000000e+03,6.200368522610962829e-01
2.000000000000000000e+00,2.129999923706054688e+01,1.366000000000000000e+03,2.201800886450577810e-01
2.000000000000000000e+00,2.079999923706054688e+01,1.300000000000000000e+01,2.774369825719209643e+02
3.000000000000000000e+00,2.139999961853027344e+01,1.380000000000000000e+03,4.407848026641900105e+02
3.000000000000000000e+00,2.129999923706054688e+01,1.371000000000000000e+03,6.583859756158111622e+02
4.000000000000000000e+00,2.089999961853027344e+01,9.000000000000000000e+00,9.245411138389973758e+02
4.000000000000000000e+00,2.029999923706054688e+01,7.000000000000000000e+00,1.220572511101093369e+03
4.000000000000000000e+00,2.000000000000000000e+01,9.000000000000000000e+00,1.514930256793932813e+03
4.000000000000000000e+00,1.979999923706054688e+01,8.000000000000000000e+00,1.767719663786366937e+03
5.000000000000000000e+00,1.950000000000000000e+01,8.000000000000000000e+00,1.939214478385412121e+03
5.000000000000000000e+00,1.929999923706054688e+01,7.000000000000000000e+00,2.000000000000000000e+03
6.000000000000000000e+00,1.839999961853027344e+01,7.000000000000000000e+00,1.939214478385412121e+03
6.000000000000000000e+00,1.750000000000000000e+01,8.000000000000000000e+00,1.767719663786366937e+03
6.000000000000000000e+00,1.750000000000000000e+01,9.000000000000000000e+00,1.514930256793932813e+03
6.000000000000000000e+00,1.739999961853027344e+01,6.000000000000000000e+00,1.220572511101093369e+03
6.000000000000000000e+00,1.739999961853027344e+01,9.000000000000000000e+00,9.245411138389973758e+02
6.000000000000000000e+00,1.720000076293945312e+01,1.000000000000000000e+01,6.583859756158111622e+02
6.000000000000000000e+00,1.739999961853027344e+01,9.000000000000000000e+00,4.407848026641900105e+02
5.000000000000000000e+00,1.750000000000000000e+01,9.000000000000000000e+00,2.774369825719209643e+02
5.000000000000000000e+00,1.750000000000000000e+01,1.000000000000000000e+01,1.641699972477975962e+02
5.000000000000000000e+00,1.750000000000000000e+01,6.000000000000000000e+00,9.133030922126044970e+01
5.000000000000000000e+00,1.750000000000000000e+01,7.000000000000000000e+00,7.500264566339165384e-01
5.000000000000000000e+00,1.750000000000000000e+01,8.000000000000000000e+00,1.568097344253582826e-01
5.000000000000000000e+00,1.739999961853027344e+01,7.000000000000000000e+00,6.123699120482944958e-01
6.000000000000000000e+00,1.739999961853027344e+01,8.000000000000000000e+00,1.329051649200987395e-01
5.000000000000000000e+00,1.729999923706054688e+01,6.000000000000000000e+00,6.075892638400051116e-01
6.000000000000000000e+00,1.729999923706054688e+01,6.000000000000000000e+00,2.795442541516655055e-01
5.000000000000000000e+00,1.720000076293945312e+01,8.000000000000000000e+00,2.679141806927179958e-01
5.000000000000000000e+00,1.720000076293945312e+01,1.000000000000000000e+01,1.392387089198440231e-01
5.000000000000000000e+00,1.720000076293945312e+01,9.000000000000000000e+00,8.430826286822433735e-01
5.000000000000000000e+00,1.710000038146972656e+01,9.000000000000000000e+00,8.026206615393732813e-01
5.000000000000000000e+00,1.710000038146972656e+01,8.000000000000000000e+00,7.788975032680582888e-01
5.000000000000000000e+00,1.700000000000000000e+01,8.000000000000000000e+00,7.925268657961491714e-01
6.000000000000000000e+00,1.700000000000000000e+01,7.000000000000000000e+00,1.349397576962916290e-01
6.000000000000000000e+00,1.689999961853027344e+01,7.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.689999961853027344e+01,8.000000000000000000e+00,8.151382528917385795e-01
6.000000000000000000e+00,1.689999961853027344e+01,6.000000000000000000e+00,2.489570263853975174e-01
6.000000000000000000e+00,1.679999923706054688e+01,1.000000000000000000e+01,4.758268452662538506e-01
6.000000000000000000e+00,1.679999923706054688e+01,9.000000000000000000e+00,9.527743996985054142e-01
6.000000000000000000e+00,1.670000076293945312e+01,8.000000000000000000e+00,2.865299591543856161e-01
6.000000000000000000e+00,1.670000076293945312e+01,8.000000000000000000e+00,7.817092810727279684e-01
6.000000000000000000e+00,1.670000076293945312e+01,6.000000000000000000e+00,3.757611796980557806e-01
6.000000000000000000e+00,1.670000076293945312e+01,8.000000000000000000e+00,8.212930777390560211e-01
6.000000000000000000e+00,1.670000076293945312e+01,9.000000000000000000e+00,3.794698445660477093e-01
7.000000000000000000e+00,1.660000038146972656e+01,7.000000000000000000e+00,9.607385449256766741e-02
7.000000000000000000e+00,1.660000038146972656e+01,8.000000000000000000e+00,3.664140661264938537e-01
7.000000000000000000e+00,1.660000038146972656e+01,9.000000000000000000e+00,3.905142656852716998e-01
7.000000000000000000e+00,1.650000000000000000e+01,7.000000000000000000e+00,9.451776360933064058e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.762339148536795630e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,9.042791312095674883e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,2.360665598071431948e-02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,2.774369825719209643e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,4.407848026641900105e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.583859756158111622e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,9.245411138389973758e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.220572511101093369e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.514930256793932813e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.767719663786366937e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.939214478385412121e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,2.000000000000000000e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.939214478385412121e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.767719663786366937e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.514930256793932813e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.220572511101093369e+03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,9.245411138389973758e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.583859756158111622e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,4.407848026641900105e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,2.774369825719209643e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.641699972477975962e+02
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,9.133030922126044970e+01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,3.894965025087043786e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,2.245522533551577160e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.914435195694277558e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,7.756994800611080043e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.353416821229030953e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,4.822265713754223526e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.806203832205452997e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,8.827884513739560068e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.257904669585160340e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,4.038406366898998900e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,3.895506463760787241e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.538116664794339172e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.721042723720501710e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.527442385892733512e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,2.524773470168630851e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,7.936110226820661806e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,9.838781423948570470e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,6.813179344964650497e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,7.722175643040674053e-03
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.683477426851375469e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.431698777675250112e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,1.728755277485825026e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.318147302728397641e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,5.701688262544670760e-01
8.000000000000000000e+00,1.450000000000000000e+01,1.161000000000000000e+03,7.844372889339444876e-01
8.000000000000000000e+00,1.450000000000000000e+01,8.000000000000000000e+00,2.799118472623084442e-01
8.000000000000000000e+00,1.460000038146972656e+01,8.000000000000000000e+00,2.879366587200364869e-01
7.000000000000000000e+00,1.439999961853027344e+01,6.000000000000000000e+00,1.199029356158211046e-01
7.000000000000000000e+00,1.419999980926513672e+01,6.000000000000000000e+00,5.359362391724336039e-01
7.000000000000000000e+00,1.369999980926513672e+01,8.000000000000000000e+00,2.774369825719209643e+02
8.000000000000000000e+00,1.339999961853027344e+01,7.000000000000000000e+00,4.407848026641900105e+02
7.000000000000000000e+00,1.389999961853027344e+01,9.000000000000000000e+00,6.583859756158111622e+02
7.000000000000000000e+00,1.380000019073486328e+01,1.000000000000000000e+01,9.245411138389973758e+02
7.000000000000000000e+00,1.369999980926513672e+01,8.000000000000000000e+00,1.220572511101093369e+03
7.000000000000000000e+00,1.369999980926513672e+01,7.000000000000000000e+00,1.514930256793932813e+03
8.000000000000000000e+00,1.369999980926513672e+01,9.000000000000000000e+00,1.767719663786366937e+03
7.000000000000000000e+00,1.369999980926513672e+01,7.000000000000000000e+00,1.939214478385412121e+03
8.000000000000000000e+00,1.369999980926513672e+01,8.000000000000000000e+00,2.000000000000000000e+03
8.000000000000000000e+00,1.369999980926513672e+01,7.000000000000000000e+00,1.939214478385412121e+03
8.000000000000000000e+00,1.369999980926513672e+01,9.000000000000000000e+00,1.767719663786366937e+03
8.000000000000000000e+00,1.369999980926513672e+01,8.000000000000000000e+00,1.514930256793932813e+03
8.000000000000000000e+00,1.360000038146972656e+01,8.000000000000000000e+00,1.220572511101093369e+03
8.000000000000000000e+00,1.360000038146972656e+01,8.000000000000000000e+00,9.245411138389973758e+02
7.000000000000000000e+00,1.350000000000000000e+01,7.000000000000000000e+00,6.583859756158111622e+02
7.000000000000000000e+00,1.350000000000000000e+01,7.000000000000000000e+00,4.407848026641900105e+02
7.000000000000000000e+00,1.339999961853027344e+01,7.000000000000000000e+00,2.774369825719209643e+02
6.000000000000000000e+00,1.339999961853027344e+01,1.000000000000000000e+01,1.641699972477975962e+02
6.000000000000000000e+00,1.330000019073486328e+01,8.000000000000000000e+00,9.133030922126044970e+01
6.000000000000000000e+00,1.319999980926513672e+01,7.000000000000000000e+00,1.199326887442038192e-01
6.000000000000000000e+00,1.319999980926513672e+01,5.000000000000000000e+00,6.188377649230911715e-01
6.000000000000000000e+00,1.310000038146972656e+01,7.000000000000000000e+00,2.549942657722753525e-01
6.000000000000000000e+00,1.310000038146972656e+01,8.000000000000000000e+00,9.420359891609679792e-01
5.000000000000000000e+00,1.300000000000000000e+01,7.000000000000000000e+00,4.118603780976551887e-01
5.000000000000000000e+00,1.300000000000000000e+01,8.000000000000000000e+00,4.701464793098207862e-01
4.000000000000000000e+00,1.289999961853027344e+01,8.000000000000000000e+00,8.016734268337295521e-01
4.000000000000000000e+00,1.289999961853027344e+01,8.000000000000000000e+00,7.957309614580987400e-01
4.000000000000000000e+00,1.280000019073486328e+01,8.000000000000000000e+00,3.046745498308627287e-01
4.000000000000000000e+00,1.280000019073486328e+01,6.000000000000000000e+00,4.068552255252421146e-01
4.000000000000000000e+00,1.269999980926513672e+01,9.000000000000000000e+00,6.892326308608047736e-01
3.000000000000000000e+00,1.269999980926513672e+01,8.000000000000000000e+00,7.445783617718976233e-01
3.000000000000000000e+00,1.260000038146972656e+01,9.000000000000000000e+00,9.615278423658617513e-01
3.000000000000000000e+00,1.250000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.250000000000000000e+01,8.000000000000000000e+00,4.680428674237314679e-01
3.000000000000000000e+00,1.230000019073486328e+01,1.100000000000000000e+01,4.493374689763349750e-01
3.000000000000000000e+00,1.219999980926513672e+01,7.000000000000000000e+00,6.595144202585795368e-01
2.000000000000000000e+00,1.219999980926513672e+01,8.000000000000000000e+00,4.696542155111177452e-01
2.000000000000000000e+00,1.210000038146972656e+01,1.000000000000000000e+01,4.976735960878586607e-01
2.000000000000000000e+00,1.210000038146972656e+01,8.000000000000000000e+00,7.822662244150545563e-01
2.000000000000000000e+00,1.200000000000000000e+01,7.000000000000000000e+00,9.086461763499927846e-01
2.000000000000000000e+00,1.200000000000000000e+01,9.000000000000000000e+00,6.405906454937889682e-01
1.000000000000000000e+00,1.189999961853027344e+01,7.000000000000000000e+00,1.543601052167412613e-01
1.000000000000000000e+00,1.180000019073486328e+01,7.000000000000000000e+00,7.791944102382676318e-01
0.000000000000000000e+00,1.169999980926513672e+01,1.000000000000000000e+01,7.807214706586749209e-01
0.000000000000000000e+00,1.160000038146972656e+01,8.000000000000000000e+00,3.388331335446365111e-01
1.000000000000000000e+00,1.150000000000000000e+01,8.000000000000000000e+00,5.133979822866548970e-01
1.000000000000000000e+00,1.160000038146972656e+01,9.000000000000000000e+00,6.563767460413191257e-01
3.000000000000000000e+00,1.160000038146972656e+01,9.000000000000000000e+00,5.524847962541941104e-01
4.000000000000000000e+00,1.160000038146972656e+01,8.000000000000000000e+00,8.027626586773224382e-01
5.000000000000000000e+00,1.160000038146972656e+01,9.000000000000000000e+00,2.774369825719209643e+02
6.000000000000000000e+00,1.169999980926513672e+01,8.000000000000000000e+00,4.407848026641900105e+02
7.000000000000000000e+00,1.180000019073486328e+01,9.000000000000000000e+00,6.583859756158111622e+02
7.000000000000000000e+00,1.180000019073486328e+01,8.000000000000000000e+00,9.245411138389973758e+02
7.000000000000000000e+00,1.189999961853027344e+01,7.000000000000000000e+00,1.220572511101093369e+03
7.000000000000000000e+00,1.189999961853027344e+01,7.000000000000000000e+00,1.514930256793932813e+03
7.000000000000000000e+00,1.200000000000000000e+01,9.000000000000000000e+00,1.767719663786366937e+03
7.000000000000000000e+00,1.200000000000000000e+01,8.000000000000000000e+00,1.939214478385412121e+03
7.000000000000000000e+00,1.200000000000000000e+01,7.000000000000000000e+00,2.000000000000000000e+03
7.000000000000000000e+00,1.210000038146972656e+01,9.000000000000000000e+00,1.939214478385412121e+03
7.000000000000000000e+00,1.210000038146972656e+01,7.000000000000000000e+00,1.767719663786366937e+03
7.000000000000000000e+00,1.210000038146972656e+01,9.000000000000000000e+00,1.514930256793932813e+03
6.000000000000000000e+00,1.210000038146972656e+01,6.000000000000000000e+00,1.220572511101093369e+03
5.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+01,9.245411138389973758e+02
4.000000000000000000e+00,1.180000019073486328e+01,9.000000000000000000e+00,6.583859756158111622e+02
4.000000000000000000e+00,1.169999980926513672e+01,7.000000000000000000e+00,4.407848026641900105e+02
4.000000000000000000e+00,1.150000000000000000e+01,6.000000000000000000e+00,2.774369825719209643e+02
4.000000000000000000e+00,1.130000019073486328e+01,9.000000000000000000e+00,1.641699972477975962e+02
2.000000000000000000e+00,1.110000038146972656e+01,1.200000000000000000e+01,9.133030922126044970e+01
1.000000000000000000e+00,1.100000000000000000e+01,8.000000000000000000e+00,8.251476722910704442e-01
1.000000000000000000e+00,1.080000019073486328e+01,8.000000000000000000e+00,9.150286669657706762e-01
0.000000000000000000e+00,1.060000038146972656e+01,9.000000000000000000e+00,5.899027029961116941e-01
0.000000000000000000e+00,1.050000000000000000e+01,7.000000000000000000e+00,6.276336452639474928e-03
0.000000000000000000e+00,1.030000019073486328e+01,8.000000000000000000e+00,1.910556537923771003e-01
0.000000000000000000e+00,1.019999980926513672e+01,1.000000000000000000e+01,3.043580678979702636e-01
0.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,4.668664566308367014e-01
-1.000000000000000000e+00,9.899999618530273438e+00,8.000000000000000000e+00,3.576011011472101098e-01
-1.000000000000000000e+00,9.699999809265136719e+00,9.000000000000000000e+00,3.527113518463973474e-01
-1.000000000000000000e+00,9.600000381469726562e+00,1.000000000000000000e+01,9.048740330608788796e-01
-1.000000000000000000e+00,9.600000381469726562e+00,8.000000000000000000e+00,7.951163057753075636e-01
-1.000000000000000000e+00,9.600000381469726562e+00,9.000000000000000000e+00,2.462030205718347409e-01
-1.000000000000000000e+00,9.600000381469726562e+00,1.100000000000000000e+01,7.031193778910775904e-01
-2.000000000000000000e+00,9.600000381469726562e+00,9.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,9.600000381469726562e+00,9.000000000000000000e+00,3.228527653881979598e-01
-1.000000000000000000e+00,9.600000381469726562e+00,1.100000000000000000e+01,3.413863133000285544e-01
-1.000000000000000000e+00,9.600000381469726562e+00,8.000000000000000000e+00,9.421167747224836742e-01
-1.000000000000000000e+00,9.600000381469726562e+00,1.000000000000000000e+01,2.089724569910562657e-01
-1.000000000000000000e+00,9.600000381469726562e+00,1.100000000000000000e+01,9.694239945230935795e-01
-1.000000000000000000e+00,9.600000381469726562e+00,1.100000000000000000e+01,8.364472225791118598e-01
-1.000000000000000000e+00,9.500000000000000000e+00,1.000000000000000000e+01,7.891248675614817021e-01
-1.000000000000000000e+00,9.500000000000000000e+00,1.000000000000000000e+01,6.444671687929502957e-01
-1.000000000000000000e+00,9.500000000000000000e+00,9.000000000000000000e+00,7.968984016519228275e-01
-1.000000000000000000e+00,9.500000000000000000e+00,1.000000000000000000e+01,9.662304043933483966e-01
